都道府県,世帯総数(千世帯),高齢者のいる世帯(千世帯),高齢者のみの世帯(千世帯),児童のいる世帯(千世帯)
和歌山県,391,206,119,84
高知県,315,150,90,73
香川県,398,205,113,89
鹿児島県,737,319,209,162
愛媛県,596,278,164,123
徳島県,318,160,87,67
大阪府,3663,1621,986,812
北海道,2383,1040,631,490
山口県,585,276,154,135
京都府,1088,503,284,229
広島県,1133,514,290,275
大分県,465,215,119,119
兵庫県,2197,963,555,569
奈良県,511,249,125,127
岡山県,724,352,177,186
東京都,5805,2375,1411,1140
宮崎県,461,194,111,106
熊本県,694,338,167,163
三重県,684,337,162,170
岩手県,486,265,115,114
全国,50112,22420,11614,12085
福岡県,2092,894,484,485
島根県,278,140,63,75
神奈川県,3617,1481,816,891
長野県,778,413,175,193
鳥取県,209,116,47,54
岐阜県,719,360,157,199
石川県,441,214,96,107
富山県,382,208,83,94
千葉県,2391,997,516,636
山梨県,331,146,71,81
長崎県,549,232,117,142
群馬県,759,345,160,179
青森県,497,245,103,141
佐賀県,301,152,62,78
秋田県,395,201,81,94
茨城県,1065,508,218,277
静岡県,1380,659,281,363
埼玉県,2723,1120,551,726
愛知県,2763,1181,558,714
福島県,703,348,141,186
栃木県,715,348,143,190
山形県,382,224,75,106
福井県,262,133,50,81
新潟県,846,414,159,221
滋賀県,506,218,94,142
沖縄県,540,192,96,165
宮城県,856,371,148,233