都道府県,可住地面積_km2,森林面積_km2,自然公園面積_km2,田面積_km2,畑面積_km2,宅地面積_km2
北海道,22372.39,53216.86,8684.72,2357.55,8566.37,1049.83
新潟県,4535.32,7992.9,3168.91,1572.75,339.76,465.28
福島県,4217.11,9364.74,1790.96,1036.94,719.86,423.97
茨城県,3975.12,1889.83,908.96,923.09,984.86,692.97
岩手県,3714.01,11440.16,720.61,970.02,653.29,320.28
千葉県,3554.33,1565.46,285.37,833.03,603.82,749.07
鹿児島県,3312.88,5824.15,1234.49,446.37,1060.68,371.85
青森県,3229.7,6157.21,1141.87,860.39,709.89,297.89
長野県,3225.52,10233.6,2785.49,638.39,674.39,478.54
秋田県,3204.37,8200.54,1238.01,1308.18,230.11,253.19
宮城県,3154.88,4068.8,1712.01,1113.96,309.27,404.14
愛知県,2988.21,2183.42,888.81,467.22,384.41,855.89
栃木県,2982.76,3407.87,1334.43,962.99,350.48,442.46
山形県,2884.8,6405.28,1555.09,998.85,335.58,254.63
熊本県,2796.26,4476.1,1556.36,699.56,581.28,334.58
兵庫県,2782.93,5606.61,1660.15,702.27,121.45,576.72
福岡県,2761.53,2220.12,881.01,692.79,276.93,637.41
静岡県,2749.48,4909.11,840.41,276.93,596.74,561.81
埼玉県,2584.64,1210.41,1245.82,394.65,483.54,692.35
広島県,2311.09,6088.12,378.57,498,239.2,364.39
群馬県,2279.36,4058.37,888.64,258.97,581.35,423.44
岡山県,2218.71,4837.64,806.64,605.86,249.88,356.89
岐阜県,2211.13,8389.12,1950.93,445.43,182.3,365.36
三重県,2059.18,3712.46,2018.96,491.97,203.75,347.29
宮崎県,1849.88,5865.25,919.19,377.5,382.21,247.57
富山県,1842.82,2404.79,1255.54,592.03,58.66,240.11
大分県,1798.93,4479.66,1743.91,442.03,266.6,215.81
山口県,1706.97,4374.96,429.71,459.66,163,274.23
長崎県,1674.96,2414.69,740.91,271.4,437,203.85
愛媛県,1673.26,3992.75,411.21,276.74,452.97,229.77
神奈川県,1470.93,937.5,551.38,45.7,185.55,599.01
東京都,1421.43,762.85,798.89,3.12,91.34,576.12
石川県,1391.82,2764.18,525.64,397.08,143.66,193.36
佐賀県,1335.61,1103.87,268.84,444.5,217.52,162.88
大阪府,1330.58,572.78,200.39,107.67,39.08,518.4
滋賀県,1307.22,2028.04,1499.57,497.64,55.6,229.97
島根県,1298.88,5198.74,404.96,365.1,155.03,137.73
京都府,1173.82,3423.5,945.89,262.18,91.43,222.56
沖縄県,1169.02,1052.67,778.28,12.6,447.86,142.48
高知県,1163.11,5918.09,475.04,248.09,142.29,103.09
和歌山県,1115.06,3609.31,495.52,139.63,249.81,154.1
福井県,1077.29,3096.89,619.12,384.45,51.01,162.17
徳島県,1010.35,3120.1,387.06,211.1,168.99,133.33
香川県,1005.59,869.88,205.34,269.91,127.74,182.41
山梨県,954.38,3472.33,1212.07,105.37,263.59,172.73
鳥取県,900.83,2571.18,490.61,250.07,149.97,108.22
奈良県,855.53,2834.68,633.28,185.53,79.75,153.48