都道府県,転入数,転出数,転入超過数
東京都,460628,380784,79844
埼玉県,188769,164117,24652
神奈川県,232777,209294,23483
千葉県,163749,151860,11889
愛知県,129902,126790,3112
福岡県,104561,101672,2889
大阪府,168551,166163,2388
滋賀県,29353,28944,409
群馬県,34384,34946,-562
沖縄県,27086,28020,-934
島根県,11018,12323,-1305
宮城県,48030,49361,-1331
佐賀県,16649,18121,-1472
石川県,19385,20913,-1528
富山県,13354,14939,-1585
香川県,17863,19539,-1676
鳥取県,8732,10527,-1795
高知県,9214,11521,-2307
福井県,9876,12263,-2387
徳島県,9510,12041,-2531
京都府,57531,60067,-2536
長野県,29058,32134,-3076
宮崎県,18413,21500,-3087
大分県,18686,21989,-3303
和歌山県,11621,14936,-3315
山口県,22775,26152,-3377
山梨県,13747,17152,-3405
山形県,13294,16827,-3533
熊本県,28688,32263,-3575
鹿児島県,26769,30449,-3680
奈良県,23988,27948,-3960
愛媛県,18112,22329,-4217
岡山県,29571,33938,-4367
秋田県,10952,15386,-4434
三重県,32529,37031,-4502
岩手県,17108,22133,-5025
兵庫県,94045,99375,-5330
静岡県,57951,63534,-5583
栃木県,35819,41493,-5674
岐阜県,31271,37257,-5986
広島県,48028,54085,-6057
北海道,51195,57409,-6214
青森県,17462,23747,-6285
長崎県,22912,29578,-6666
新潟県,22600,29501,-6901
福島県,25590,33011,-7421
茨城県,52495,60239,-7744