都道府県,事業所数,従業者数
東京都,694212,9520835
大阪府,449766,4894353
三重県,344523,4006646
神奈川県,315002,3694587
埼玉県,267630,2777223
北海道,258041,2535263
兵庫県,242915,2444525
福岡県,231566,2421726
千葉県,208091,2295677
愛知県,194589,1933029
広島県,142589,1439492
京都府,131275,1269015
茨城県,131129,1372518
山梨県,129572,1169751
岐阜県,122192,1060563
静岡県,113062,993409
宮城県,110209,1120793
群馬県,104556,989891
福島県,102063,943465
栃木県,98483,973407
岡山県,89407,903467
福井県,88392,895637
鹿児島県,86068,756625
熊本県,83780,789424
愛媛県,72993,653733
山口県,70889,673773
沖縄県,70750,582952
長崎県,70315,622715
青森県,68415,608847
新潟県,68035,609917
岩手県,67230,605948
山形県,64257,552196
滋賀県,60746,665373
長野県,59981,576874
大分県,59861,555827
秋田県,58108,495821
宮崎県,57811,504898
和歌山県,55003,432067
香川県,53880,494038
奈良県,52342,497634
石川県,49611,414970
富山県,48087,420983
徳島県,42113,352162
佐賀県,41914,394499
高知県,41647,329236
島根県,40856,344942
鳥取県,29344,269788