都道府県,人口(人),面積(km2)
東京都,14047594,2194.03
神奈川県,9237337,2416.11
大阪府,8837685,1905.32
愛知県,7542415,5173.07
埼玉県,7344765,3797.75
千葉県,6284480,5157.57
兵庫県,5465002,8401.02
北海道,5224614,78421.39
福岡県,5135214,4986.51
静岡県,3633202,7777.35
茨城県,2867009,6097.39
広島県,2799702,8479.65
京都府,2578087,4612.2
宮城県,2301996,7282.29
新潟県,2201272,12583.96
長野県,2048011,13561.56
岐阜県,1978742,10621.29
群馬県,1939110,6362.28
栃木県,1933146,6408.09
岡山県,1888432,7114.33
福島県,1833152,13784.14
三重県,1770254,5774.49
熊本県,1738301,7409.46
鹿児島県,1588256,9187.06
沖縄県,1467480,2282.59
滋賀県,1413610,4017.38
山口県,1342059,6112.54
愛媛県,1334841,5676.19
奈良県,1324473,3690.94
長崎県,1312317,4130.98
青森県,1237984,9645.64
岩手県,1210534,15275.01
石川県,1132526,4186.21
大分県,1123852,6340.76
宮崎県,1069576,7735.22
山形県,1068027,9323.15
富山県,1034814,4247.58
秋田県,959502,11637.52
香川県,950244,1876.78
和歌山県,922584,4724.65
佐賀県,811442,2440.69
山梨県,809974,4465.27
福井県,766863,4190.52
徳島県,719559,4146.75
高知県,691527,7103.63
島根県,671126,6707.69
鳥取県,553407,3507.14